Make,Model,Year,OriginalPrice,CurrentValue,Age,Mileage,DepreciationPercent,DepreciationAmount,ResaleRating
Toyota,Camry,2020,25000,18500,3,45000,26,6500,Excellent
Honda,Accord,2019,24500,16800,4,58000,31,7700,Good
Ford,F-150,2021,42000,32500,2,28000,23,9500,Excellent
Chevrolet,Malibu,2018,23000,12800,5,72000,44,10200,Fair
Toyota,Corolla,2020,21000,16200,3,38000,23,4800,Excellent
Honda,Civic,2019,22000,15800,4,52000,28,6200,Good
Ford,Escape,2021,28000,22400,2,22000,20,5600,Excellent
Nissan,Altima,2018,24000,13500,5,68000,44,10500,Fair
Toyota,RAV4,2020,28500,23200,3,42000,19,5300,Excellent
Honda,CR-V,2019,27000,20500,4,55000,24,6500,Good
Ford,Mustang,2021,38000,30500,2,18000,20,7500,Good
Chevrolet,Silverado,2020,45000,34200,3,48000,24,10800,Good
Toyota,Highlander,2019,38000,28500,4,62000,25,9500,Good
Honda,Pilot,2018,35000,23800,5,78000,32,11200,Fair
BMW,330i,2020,42000,28500,3,35000,32,13500,Fair
