Make,Model,BasicYears,BasicMiles,PowertrainYears,PowertrainMiles,CorrosionYears,CorrosionMiles,RoadsideYears,RoadsideMiles,HybridBatteryYears,HybridBatteryMiles
Toyota,Camry,3,36000,5,60000,5,Unlimited,2,25000,10,150000
Honda,Accord,3,36000,5,60000,5,Unlimited,3,36000,8,100000
Ford,F-150,3,36000,5,60000,5,Unlimited,5,60000,N/A,N/A
Chevrolet,Tahoe,3,36000,5,60000,6,100000,5,60000,N/A,N/A
Hyundai,Sonata,5,60000,10,100000,7,Unlimited,5,Unlimited,10,100000
Kia,Forte,5,60000,10,100000,5,100000,5,60000,10,100000
Nissan,Altima,3,36000,5,60000,5,Unlimited,3,36000,8,100000
Mazda,CX-5,3,36000,5,60000,5,Unlimited,3,36000,N/A,N/A
Subaru,Outback,3,36000,5,60000,5,Unlimited,3,36000,N/A,N/A
BMW,330i,4,50000,4,50000,12,Unlimited,4,50000,N/A,N/A
Mercedes,C-Class,4,50000,4,50000,4,50000,4,50000,N/A,N/A
Audi,A4,4,50000,4,50000,12,Unlimited,4,50000,N/A,N/A
Tesla,Model 3,4,50000,8,100000,12,Unlimited,4,50000,8,100000
Lexus,ES,4,50000,6,70000,6,Unlimited,4,Unlimited,10,150000
Genesis,G70,5,60000,10,100000,7,Unlimited,3,36000,N/A,N/A
