Make,Model,Year,Price,Range,BatterySize,ChargingTime,FastCharging,MPGe,Acceleration,TopSpeed,Seats
Tesla,Model 3,2023,42990,272,60,8.5,Yes,132,5.8,140,5
Tesla,Model Y,2023,52990,330,75,10.0,Yes,122,6.6,135,7
Chevrolet,Bolt EV,2023,26500,259,65,10.0,Yes,120,6.5,93,5
Ford,Mustang Mach-E,2023,42995,247,68,8.5,Yes,101,5.8,111,5
Hyundai,Ioniq 5,2023,41450,303,77,7.5,Yes,114,5.1,115,5
Kia,EV6,2023,42600,310,77,7.5,Yes,117,5.1,115,5
Nissan,Ariya,2023,43190,304,87,9.0,Yes,104,7.5,100,5
Volkswagen,ID.4,2023,38995,275,82,9.5,Yes,104,7.5,99,5
BMW,i4,2023,55400,301,83,8.5,Yes,109,5.5,118,5
Audi,e-tron,2023,65900,222,95,10.0,Yes,78,5.5,124,5
Rivian,R1T,2023,73000,314,135,12.0,Yes,70,3.0,110,5
Lucid,Air,2023,87400,516,118,9.0,Yes,131,2.5,168,5
Polestar,2,2023,48400,270,78,8.0,Yes,96,4.5,127,5
Mercedes,EQS,2023,102310,350,107,11.0,Yes,97,4.1,130,5
Porsche,Taycan,2023,82700,225,79,9.0,Yes,79,3.8,143,4
